                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.8409,                0.57371,                 1.8631,                0.81794,                0.96994,                0.94698,                0.65273,                 1.8866,                   1.17,                 2.4133,               0.007294,               0.007294,               0.007294
                     84,                0.83513,                0.57215,                 1.8654,                0.81495,                0.97208,                0.94812,                0.65294,                 1.8885,                 1.1651,                 2.4122,               0.007261,               0.007261,               0.007261
                     85,                0.83194,                 0.5637,                 1.8536,                0.81299,                0.97333,                0.94683,                 0.6519,                 1.8899,                 1.1674,                 2.4134,               0.007228,               0.007228,               0.007228
                     86,                 0.8339,                0.56906,                 1.8636,                0.81375,                0.96994,                0.94665,                0.65314,                 1.8928,                 1.1608,                  2.416,               0.007195,               0.007195,               0.007195
                     87,                0.82907,                0.56153,                  1.859,                0.81601,                0.97192,                 0.9491,                0.65376,                 1.8933,                 1.1616,                 2.4143,               0.007162,               0.007162,               0.007162
                     88,                0.82948,                0.55901,                  1.864,                0.81608,                0.97586,                0.94861,                0.65393,                 1.8939,                 1.1658,                 2.4161,               0.007129,               0.007129,               0.007129
                     89,                0.82667,                0.55422,                  1.857,                0.81207,                0.97864,                0.94889,                0.65358,                 1.8982,                  1.167,                 2.4193,               0.007096,               0.007096,               0.007096
                     90,                0.82987,                0.54971,                 1.8549,                  0.812,                0.97706,                0.94994,                0.65463,                 1.8975,                 1.1641,                 2.4198,               0.007063,               0.007063,               0.007063
                     91,                0.82853,                0.55231,                 1.8543,                0.81219,                0.97848,                0.94997,                0.65492,                 1.9005,                 1.1543,                 2.4213,                0.00703,                0.00703,                0.00703
                     92,                 0.8278,                0.55131,                 1.8558,                 0.8077,                0.97362,                0.95042,                0.65472,                 1.9022,                 1.1536,                 2.4221,               0.006997,               0.006997,               0.006997
                     93,                0.82947,                0.55089,                 1.8581,                0.80981,                0.97691,                0.95088,                0.65473,                 1.9061,                 1.1485,                 2.4251,               0.006964,               0.006964,               0.006964
                     94,                0.83788,                0.55615,                 1.8549,                0.81424,                0.96402,                0.95307,                0.65729,                 1.9078,                 1.1409,                 2.4268,               0.006931,               0.006931,               0.006931
                     95,                0.82194,                0.54118,                 1.8484,                0.83169,                0.94216,                0.95198,                0.65525,                 1.9124,                 1.1432,                 2.4317,               0.006898,               0.006898,               0.006898
                     96,                0.82293,                0.54639,                 1.8544,                0.82515,                0.95205,                 0.9527,                0.65627,                 1.9152,                 1.1396,                 2.4349,               0.006865,               0.006865,               0.006865
                     97,                0.82676,                0.54747,                 1.8476,                0.83491,                0.94828,                0.95398,                 0.6572,                 1.9182,                 1.1412,                 2.4384,               0.006832,               0.006832,               0.006832
                     98,                0.82611,                0.54582,                 1.8559,                0.83578,                0.94462,                0.95431,                0.65748,                 1.9238,                 1.1468,                 2.4419,               0.006799,               0.006799,               0.006799
                     99,                0.82181,                 0.5399,                 1.8546,                 0.8487,                0.93635,                0.95447,                0.65731,                 1.9255,                  1.144,                 2.4416,               0.006766,               0.006766,               0.006766
                    100,                0.81721,                0.54087,                  1.849,                 0.8478,                0.93865,                0.95537,                0.65881,                 1.9331,                 1.1372,                  2.449,               0.006733,               0.006733,               0.006733
